runset	variant	status	test_acc	model_source	log
patchcls_pb_t50_rs_fair_g64s16_file_20260228_064306	pc_pb_t50_fair_fps16	completed	0.6662	-	logs/sanity/patchcls/patchcls_pb_t50_rs_fair_g64s16_file_20260228_064306/pc_pb_t50_fair_fps16.out
patchcls_pb_t50_rs_fair_g64s16_file_20260228_064306	pc_pb_t50_fair_ser_m	completed	0.6541	-	logs/sanity/patchcls/patchcls_pb_t50_rs_fair_g64s16_file_20260228_064306/pc_pb_t50_fair_ser_m.out
patchcls_pb_t50_rs_fair_g64s16_file_20260228_064306	pc_pb_t50_fair_ser_zt	completed	0.6489	-	logs/sanity/patchcls/patchcls_pb_t50_rs_fair_g64s16_file_20260228_064306/pc_pb_t50_fair_ser_zt.out
patchcls_objonly_ddp_diag_20260227_153339	pcdiag_w0_bs128	no_test_acc	-	-	logs/sanity/patchcls/patchcls_objonly_ddp_diag_20260227_153339/pcdiag_w0_bs128.out
patchcls_objonly_ddp_diag_20260227_153339	pcdiag_w8_bs128dbg	no_test_acc	-	-	logs/sanity/patchcls/patchcls_objonly_ddp_diag_20260227_153339/pcdiag_w8_bs128dbg.out
patchcls_objonly_ddp_diag_20260227_153339	pcdiag_w8_bs96	no_test_acc	-	-	logs/sanity/patchcls/patchcls_objonly_ddp_diag_20260227_153339/pcdiag_w8_bs96.out
patchcls_objonly_factor4_20260228_070858	pcf_a_repro	completed	0.7849	patchcls	logs/sanity/patchcls/patchcls_objonly_factor4_20260228_070858/pcf_a_repro.out
patchcls_objonly_factor4_20260228_070858	pcf_b_file	completed	0.7849	patchcls	logs/sanity/patchcls/patchcls_objonly_factor4_20260228_070858/pcf_b_file.out
patchcls_objonly_factor4_20260228_070858	pcf_c_initpm	completed	0.7694	patchcls	logs/sanity/patchcls/patchcls_objonly_factor4_20260228_070858/pcf_c_initpm.out
patchcls_objonly_factor4_20260228_070858	pcf_d_vanilla	completed	0.7728	patchcls	logs/sanity/patchcls/patchcls_objonly_factor4_20260228_070858/pcf_d_vanilla.out
patchcls_objonly_ddp_fixcheck_20260227_163745	pcfix_w0_bs128	completed	0.1343	-	logs/sanity/patchcls/patchcls_objonly_ddp_fixcheck_20260227_163745/pcfix_w0_bs128.out
patchcls_objonly_ddp_fixcheck_20260227_163745	pcfix_w8_bs128	completed	0.1343	-	logs/sanity/patchcls/patchcls_objonly_ddp_fixcheck_20260227_163745/pcfix_w8_bs128.out
